Well_ID,Database,Year,Result,Latitude,Longitude
CDPH1000134,CDPH,1988,182.4,36.81,-119.79
CDPH1000134,CDPH,1988,211,36.81,-119.79
CDPH1000140,CDPH,1988,216.32,36.76,-119.78
CDPH1000140,CDPH,1988,201,36.76,-119.78
CDPH1000143,CDPH,1988,177.92,36.81,-119.85
CDPH1000143,CDPH,1988,193,36.81,-119.85
CDPH1000145,CDPH,1988,145.92,36.78,-119.8
CDPH1000145,CDPH,1988,167,36.78,-119.8
CDPH1000147,CDPH,1988,258.56,36.71,-119.76
CDPH1000147,CDPH,1988,272,36.71,-119.76
CDPH1000148,CDPH,1988,158.72,36.81,-119.86
CDPH1000148,CDPH,1988,185,36.81,-119.86
CDPH1000148,CDPH,1988,184.32,36.81,-119.86
CDPH1000148,CDPH,1988,216,36.81,-119.86
CDPH1000151,CDPH,1988,163.2,36.76,-119.84
CDPH1000151,CDPH,1988,186,36.76,-119.84
CDPH1000153,CDPH,1988,131.84,36.76,-119.78
CDPH1000153,CDPH,1988,169,36.76,-119.78
CDPH1000154,CDPH,1988,98.56,36.8,-119.76
CDPH1000154,CDPH,1988,138,36.8,-119.76
CDPH1000159,CDPH,1988,145.92,36.79,-119.83
CDPH1000159,CDPH,1988,163,36.79,-119.83
CDPH1000161,CDPH,1988,122.88,36.8,-119.75
CDPH1000161,CDPH,1988,162,36.8,-119.75
CDPH1000166,CDPH,1988,152.96,36.8,-119.75
CDPH1000166,CDPH,1988,188,36.8,-119.75
CDPH1000167,CDPH,1988,188.8,36.81,-119.88
CDPH1000167,CDPH,1988,205,36.81,-119.88
CDPH1000211,CDPH,1988,96,36.56,-119.62
CDPH1000211,CDPH,1988,99,36.56,-119.62
CDPH1000282,CDPH,1988,358.4,35.35,-118.98
CDPH1000282,CDPH,1988,333,35.35,-118.98
CDPH1000321,CDPH,1988,153.6,35.6,-119.33
CDPH1000321,CDPH,1988,165,35.6,-119.33
CDPH1000749,CDPH,1988,335.36,36.3,-119.15
CDPH1000749,CDPH,1988,336,36.3,-119.15
CDPH1000789,CDPH,1988,105.6,36.33,-119.28
CDPH1000789,CDPH,1988,108,36.33,-119.28
CDPH1005474,CDPH,1988,172.16,36.83,-119.81
CDPH1005474,CDPH,1988,203,36.83,-119.81
CDPH1005481,CDPH,1988,311.68,36.73,-119.78
CDPH1005481,CDPH,1988,309,36.73,-119.78
CDPH1005482,CDPH,1988,163.84,36.8,-119.78
CDPH1005482,CDPH,1988,182,36.8,-119.78
CDPH1005483,CDPH,1988,248.32,36.73,-119.8
CDPH1005483,CDPH,1988,259,36.73,-119.8
CDPH1005485,CDPH,1988,250.88,36.76,-119.8
CDPH1005485,CDPH,1988,274,36.76,-119.8
CDPH1005488,CDPH,1988,190.72,36.78,-119.91
CDPH1005488,CDPH,1988,195,36.78,-119.91
CDPH1005490,CDPH,1988,281.6,36.75,-119.75
CDPH1005490,CDPH,1988,281,36.75,-119.75
CDPH1005492,CDPH,1988,296.96,36.75,-119.78
CDPH1005492,CDPH,1988,272,36.75,-119.78
CDPH1005495,CDPH,1988,265.6,36.73,-119.81
CDPH1005495,CDPH,1988,281,36.73,-119.81
CDPH1005498,CDPH,1988,251.52,36.76,-119.76
CDPH1005498,CDPH,1988,260,36.76,-119.76
CDPH1005500,CDPH,1988,153.6,36.8,-119.78
CDPH1005500,CDPH,1988,157,36.8,-119.78
CDPH1005503,CDPH,1988,155.52,36.7,-119.78
CDPH1005503,CDPH,1988,182,36.7,-119.78
CDPH1005504,CDPH,1988,172.16,36.8,-119.76
CDPH1005504,CDPH,1988,188,36.8,-119.76
CDPH1005506,CDPH,1988,170.24,36.8,-119.81
CDPH1005506,CDPH,1988,199,36.8,-119.81
CDPH1005509,CDPH,1988,251.52,36.76,-119.73
CDPH1005509,CDPH,1988,267,36.76,-119.73
CDPH1005511,CDPH,1988,213.12,36.81,-119.76
CDPH1005511,CDPH,1988,226,36.81,-119.76
